Last login: Tue Oct  8 00:26:39 on console
lixinyandeMacBook-Pro:~ saaries$ source vtf.sh
(targetDirectory) lixinyandeMacBook-Pro:targetDirectory saaries$ cd /Users/saaries/Downloads/pydodge2
(targetDirectory) lixinyandeMacBook-Pro:pydodge2 saaries$ python train_dqn_v3.py
/Users/saaries/targetDirectory/lib/python3.6/site-packages/h5py-2.7.1-py3.6-macosx-10.6-intel.egg/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
Using TensorFlow backend.
2019-10-10 14:56:58.247728: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
WARNING:tensorflow:Variable *= will be deprecated. Use variable.assign_mul if you want assignment to the variable value or 'x = x * y' if you want a new python Tensor object.
105 10 -0.971
126 11 -0.969
177 12 -0.967
212 14 -0.961
213 10 -0.971
239 18 -0.949
256 15 -0.956
270 15 -0.956
284 16 -0.953
294 21 -0.94
297 23 -0.9329999999999999
410 14 -0.961
444 12 -0.965
453 12 -0.967
474 12 -0.965
493 42 -0.8749999999999999
501 22 -0.9349999999999999
533 12 -0.966
630 34 -0.8989999999999999
682 24 -0.9289999999999999
691 16 -0.955
703 46 -0.8639999999999999
708 20 -0.941
711 15 -0.958
736 18 -0.947
772 47 -0.861
787 35 -0.8959999999999999
798 36 -0.8929999999999999
845 40 -0.8829999999999999
881 31 -0.9079999999999999
893 61 -0.8179999999999998
911 15 -0.956
949 15 -0.958
956 12 -0.965
972 13 -0.964
973 21 -0.938
992 21 -0.939
998 18 -0.949
1007 11 -0.969
1022 47 -0.861
1036 21 -0.94
1043 15 -0.958
1079 22 -0.9369999999999999
1095 12 -0.966
1126 54 -0.841
1138 10 -0.972
1139 11 -0.969
1147 13 -0.963
1171 13 -0.963
1173 33 -0.9029999999999999
1189 16 -0.955
1236 14 -0.961
1243 12 -0.966
1275 20 -0.943
1311 8 -0.977
1312 20 -0.943
1372 19 -0.945
1376 15 -0.956
1382 12 -0.966
1398 21 -0.938
1406 20 -0.942
1409 9 -0.975
1421 33 -0.9019999999999999
1427 18 -0.948
1436 16 -0.955
1443 10 -0.972
1475 7 -0.98
1508 13 -0.964
1532 15 -0.956
1581 16 -0.953
1611 17 -0.952
1630 14 -0.96
1631 13 -0.962
1637 33 -0.9029999999999999
1649 10 -0.971
1691 15 -0.956
1709 12 -0.965
1712 36 -0.8939999999999999
1745 9 -0.974
1752 11 -0.969
1755 19 -0.945
1775 29 -0.9139999999999999
1812 13 -0.964
1843 38 -0.8879999999999999
1853 12 -0.966
1864 13 -0.962
1919 9 -0.974
1967 14 -0.96
1977 23 -0.9329999999999999
2012 12 -0.965
2060 51 -0.849
2065 26 -0.9239999999999999
2074 40 -0.8829999999999999
2075 14 -0.961
2132 41 -0.8789999999999999
2170 16 -0.953
2186 15 -0.958
2188 18 -0.949
2199 29 -0.9159999999999999
2207 12 -0.967
2235 25 -0.9259999999999999
2239 32 -0.9069999999999999
2307 56 -0.8339999999999999
2312 35 -0.8959999999999999
2314 9 -0.975
2325 15 -0.958
2346 23 -0.9329999999999999
2412 12 -0.965
2430 23 -0.9339999999999999
2446 18 -0.947
2455 13 -0.964
2461 17 -0.951
2502 23 -0.9329999999999999
2505 16 -0.955
2546 14 -0.961
2610 52 -0.8459999999999999
2623 28 -0.9179999999999999
2656 15 -0.958
2658 14 -0.961
2661 15 -0.958
2678 14 -0.959
2694 7 -0.98
2723 9 -0.974
2734 65 -0.8069999999999999
2741 11 -0.968
2765 17 -0.951
2790 26 -0.9229999999999999
2810 12 -0.967
2814 13 -0.964
2827 31 -0.9099999999999999
2833 16 -0.953
2872 42 -0.8749999999999999
2899 47 -0.861
2925 15 -0.956
2933 15 -0.958
2967 13 -0.962
2972 10 -0.972
3018 18 -0.949
3019 13 -0.962
3031 19 -0.944
3043 38 -0.8869999999999999
3085 13 -0.964
3095 14 -0.959
3123 51 -0.849
3152 22 -0.9349999999999999
3209 16 -0.953
3227 12 -0.966
3317 42 -0.8749999999999999
3341 16 -0.954
3359 20 -0.941
3372 18 -0.949
3385 42 -0.8759999999999999
3410 10 -0.971
3422 29 -0.9139999999999999
3457 17 -0.95
3458 12 -0.965
3462 10 -0.971
3575 35 -0.8979999999999999
3615 55 -0.837
3626 15 -0.958
3626 50 -0.851
3643 11 -0.97
3645 42 -0.8769999999999999
3716 14 -0.961
3732 52 -0.847
3747 23 -0.9329999999999999
3763 18 -0.947
3868 60 -0.821
3913 18 -0.949
3916 25 -0.9269999999999999
3949 13 -0.963
3956 51 -0.849
3983 25 -0.9269999999999999
3991 29 -0.9149999999999999
4026 44 -0.871
4037 52 -0.847
4105 14 -0.96
4167 16 -0.953
4171 14 -0.96
4182 12 -0.965
4221 54 -0.839
4238 21 -0.939
4243 42 -0.8769999999999999
4249 36 -0.8949999999999999
4317 46 -0.865
4325 42 -0.8759999999999999
4332 10 -0.972
4337 15 -0.956
4347 36 -0.8929999999999999
4403 12 -0.966
4424 36 -0.8939999999999999
4462 35 -0.8959999999999999
4475 26 -0.9229999999999999
4514 12 -0.967
4521 29 -0.9159999999999999
4533 15 -0.956
4542 12 -0.965
4560 17 -0.95
4575 15 -0.956
4595 27 -0.9209999999999999
4642 14 -0.961
4646 60 -0.823
4649 32 -0.9059999999999999
4688 12 -0.966
4691 10 -0.971
4694 11 -0.968
4700 20 -0.942
4739 15 -0.958
4740 21 -0.94
4746 43 -0.873
4786 10 -0.971
4796 18 -0.947
4814 42 -0.8769999999999999
4830 9 -0.976
4849 20 -0.941
4922 19 -0.946
4938 52 -0.8459999999999999
4948 13 -0.963
4950 9 -0.974
4974 16 -0.953
5003 13 -0.963
5024 13 -0.964
5028 42 -0.8749999999999999
5037 24 -0.9309999999999999
5044 13 -0.963
5047 22 -0.9349999999999999
5087 11 -0.968
5110 22 -0.9359999999999999
5160 16 -0.955
5202 36 -0.8949999999999999
5203 10 -0.972
5204 26 -0.9249999999999999
5204 12 -0.965
5213 13 -0.964
5274 42 -0.8769999999999999
5337 11 -0.968
5341 21 -0.938
5347 11 -0.969
5357 28 -0.9179999999999999
5370 25 -0.9279999999999999
5371 12 -0.966
5436 15 -0.958
5452 13 -0.963
5454 38 -0.8889999999999999
5465 23 -0.9329999999999999
5491 17 -0.951
5495 11 -0.968
5496 37 -0.8909999999999999
5502 12 -0.967
5526 42 -0.8769999999999999
5530 40 -0.8829999999999999
5584 12 -0.966
5595 13 -0.964
5632 12 -0.965
5696 11 -0.969
5704 13 -0.962
5708 24 -0.9299999999999999
5716 19 -0.946
5719 37 -0.8909999999999999
5738 20 -0.943
5754 17 -0.952
5782 14 -0.96
5839 11 -0.969
5860 35 -0.8959999999999999
5866 53 -0.8419999999999999
5909 13 -0.963
5911 16 -0.954
5921 42 -0.8759999999999999
5932 8 -0.977
5934 22 -0.9369999999999999
5937 33 -0.9019999999999999
5969 88 -0.7369999999999999
5977 15 -0.957
